Country Name,Country Code,Series Name,Series Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Angola,AGO,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,37420000,49049999.9,115810000,104330000,67140000,278000000,234000000,119000000,131000000,200000000,-334800000,664500000,287956000,302100000,170300000,472427000,180559000,411660000,1113970000,2471460000,878620000,2145470000,1743504000,3576971780,2197227820,-1303836930,-37714860,-893342152,1678971010,2205298180,-3227211182.45,-3023770965.83688,-1464627990.88283,-7120017424.46139,3657514667.49327,10028215162.6394,-179517618.92,-7397295409.18991,-6456076413.12033,-4098478747.63754,-1866468113.07453,-4355116552.71588,-6598652652.09389
Angola,AGO,"Population, total",SP.POP.TOTL,8133872,8435607,8751648,9082983,9425917,9779120,10139450,10497858,10861291,11238562,11626360,12023529,12423712,12827135,13249764,13699778,14170973,14660413,15159370,15667235,16194869,16747208,17327699,17943712,18600423,19291161,20015279,20778561,21578655,22414773,23294825,24218352,25177394,26165620,27160769,28157798,29183070,30234839,31297155,32375632,33451132,34532429,35635029
Angola,AGO,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2.9918E-08,2.9918E-08,2.9918E-08,2.9918E-08,2.9918E-08,2.9918E-08,2.9918E-08,2.9918E-08,2.9918E-08,2.9918E-08,2.9918E-08,5.50983333333334E-08,2.51416666666667E-07,2.66016666666667E-06,5.9515E-05,0.00275022958333333,0.128029166666667,0.229040083333333,0.3928235175,2.79070616666667,10.0405441666667,22.0578616666667,43.5302066666667,74.6063008333333,83.5413625,87.1591416666667,80.3680720555555,76.70614275,75.0333541666667,79.3281666666667,91.9057203405018,93.93475,95.467955421311,96.5182794791526,98.3024168556335,120.060701665019,163.656434116579,165.915950691498,252.855747731297,364.825804980887,578.25878028011,631.441955506727,460.567511631462
Angola,AGO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,..,..,..,..,..,..,83.7837837837838,299.509803921569,1378.52760736196,949.792531120332,2666.45059288538,4145.10598220638,219.176721172974,107.284821528298,248.195902412868,324.996871601321,152.561022469299,108.897436089429,98.2241436573304,43.5421067519687,22.953513851394,13.3052101780032,12.2514974459487,12.4758291326398,13.7302839288408,14.4696564932577,13.4824679218511,10.2779049218839,8.77781429332624,7.28038730361121,9.35597215533784,30.6944150806719,29.8444799015679,19.6289379701521,17.080954143438,22.271539247051,25.7542948841891,21.3552901320822
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,-4.40000121865036,0,4.20000142853753,6.00000216509056,3.49999949008608,2.90000174246853,4.08274863510731,6.12889047765088,0.0416214618373516,-3.45009868500237,0.991359302044742,-5.83828073313154,-23.9834174420578,1.33936343648007,15.0000000288633,13.5443697551025,7.27427735460373,4.69114645093552,2.18148971840462,3.05462423430785,4.20599855619506,13.6656887608562,3.48731240097521,11.4198633904585,14.1547775343954,11.8418178757044,13.0026889457975,10.7866360496581,1.99558909788963,5.29366572819954,3.59386960240222,8.50312283866612,4.88306129688392,4.65572356315585,0.763177710914789,-1.70053036291208,-0.149396225571834,-0.59441122698307,-0.204680245744115,-4.04244724639663,2.10275251923413,4.21600258475137
Angola,AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3186.7395967321,2937.55129349615,2831.46994192125,2842.76539931284,2903.70027040203,2896.78303600758,2874.86018427609,2890.07547573739,2964.572344914,2866.24611384236,2675.05239370666,2612.33170523819,2380.58274213388,1752.72318662558,1719.54294465223,1912.51777523397,2099.35045384819,2176.87757986492,2203.98692701325,2179.06426975438,2172.46326720494,2189.17352158246,2404.97792071531,2403.40415157038,2583.32411461288,2843.3966357968,3065.05576243895,3336.36332465208,3559.19522512236,3494.80724466172,3540.79159568381,3528.16824373399,3682.35229322763,3716.29718727282,3746.81619978613,3641.72893919944,3454.03317187119,3328.8982124109,3196.79006983557,3083.97534427357,2864.16146036893,2832.81777132286,2860.90251922246
Benin,BEN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,4316555.84568939,2090299.06059477,-12172.6229100822,10496.868316392,11442.7822973772,-90000,1100000,100000,-21662039.8992973,-1118466.198443,-2954844.09146129,393822.32951725,954317.433648149,-21635980.3291014,-7107468.70636541,-7738379.60727877,-14661253.7760881,12183267.3373419,11294143.4999269,9314781.87697577,-12794843.6146593,16739539.3415644,-19395622.6954977,10638088.2576387,-40774605.0603662,-8788860.12677477,-12363482.3642043,139189943.015455,48210757.8531253,-18807407.3780512,53507087.7359352,161302390.821902,281548556.296849,360343380.324676,405737369.105158,149755663.330268,131790853.840789,200902719.348051,194073683.196865,218207871.715642,174019952.06305,345985235.680029,375988902.223793
Benin,BEN,"Population, total",SP.POP.TOTL,3925251,4038307,4156596,4278978,4405895,4538012,4675420,4818486,4967341,5121657,5281479,5446932,5617844,5872706,6096506,6226773,6391858,6583365,6789489,7002818,7221619,7445596,7675426,7913070,8159094,8426144,8693242,8953969,9228466,9509423,9797484,10093623,10397657,10708834,11030004,11360681,11697842,12039780,12383347,12726755,13070169,13413417,13759501
Benin,BEN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,211.279555414705,271.731452550327,328.60625269899,381.066036024628,436.956665788008,449.262962711607,346.305903554493,300.536562401478,297.848218819378,319.008299487903,272.264787954393,282.10690880882,264.691800750579,283.162579500018,555.204695655697,499.14842590131,511.552430272516,583.669372353396,589.951774567332,615.473349319193,710.207977031373,732.397693260192,693.713226496371,579.897426172445,527.338032291584,527.258362649643,522.42562489518,478.633718476359,446.000041432788,470.293423341398,494.794262222936,471.248625718934,510.556338454251,493.899623852233,493.757329875319,591.21169798261,592.605615063006,580.656749587853,555.446458398235,585.950813757166,574.294549649056,554.607798864163,622.912348249567
Benin,BEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,0.440599214931794,38.5308661668538,14.4625482180894,4.91423972637201,3.46629590564776,5.75331458417064,0.326722893396866,4.16540442290283,3.98429547767893,2.48916235491541,1.48724246145442,0.8738908308685,5.36452085832342,3.78217696540375,1.29806813334152,7.94729876067854,0.896072355749069,2.20783532536524,2.7042390774728,6.74468253340712,0.428888888888884,-0.548757550948181,0.218785923536245,-0.793310145785624,0.0432648555103608,0.919170717886054,0.732849371241066,3.02272119663759,1.73353962694036,1.35077863583527
